location,society,total_sqft,price,bath_processed,balcony_processed,availability_encoded,area_type_encoded,size_cleaned
Thigalarapalya,Prtanha,2215.0,162.0,4,2,0,3,3
Hormavu,ARureig,1075.0,53.7,2,1,0,3,2
Harlur,Prncyrn,2569.0,180.0,5,3,2,3,4
Kudlu Gate,Sanzaat,1183.0,79.54,2,1,2,3,2
HSR Layout,Veyal V,1100.0,44.0,2,2,0,3,2
Jakkur,HRaniIb,1291.0,75.0,2,1,0,3,2
Electronic City,GMown E,1060.0,55.0,2,1,0,3,2
7th Phase JP Nagar,Eladero,1575.0,110.0,2,2,0,3,3
Mahadevpura,Neisei ,1236.0,58.0,2,1,0,3,2
Malleshwaram,Sariaat,2475.0,326.0,4,3,0,3,3
Haralur Road,Oznzaes,4694.0,375.0,5,3,0,0,4
Thanisandra,Bhmesy ,1056.0,75.0,2,1,2,3,2
Kudlu Gate,Sanzaat,1850.0,110.0,3,2,2,3,3
Amblipura,IDldsin,3150.0,180.0,4,3,0,3,4
Chandapura,SunceEs,1185.0,30.22,2,2,2,3,3
Jigani,DLhtsan,918.0,56.0,2,2,0,3,2
Munnekollal,Raisys ,1540.0,70.0,2,3,0,0,3
Lakshminarayana Pura,RothaVa,1200.0,80.0,2,2,0,3,2
Sarjapur,Caonand,2580.0,115.0,4,0,2,0,4
Hosur Road,Saageat,1345.0,106.0,2,2,0,3,2
8th Phase JP Nagar,HMityld,1510.0,80.0,2,3,0,3,2
Kanakpura Road,PrarePa,525.0,27.0,2,1,2,3,1
Yelahanka,Goues A,629.0,42.535,1,0,2,3,1
Kanakpura Road,PrarePa,1100.0,53.0,3,2,2,3,3
Hormavu,Kolisl ,2282.0,115.0,4,0,2,1,4
Sarjapur,Corix B,2172.0,100.0,3,0,0,2,3
Yeshwanthpur Industrial Suburb,Essic C,3800.0,390.0,6,0,0,3,6
Kumaraswami Layout,BaisePa,600.0,72.0,2,1,0,2,4
Uttarahalli,SLnssPr,1245.0,43.58,2,2,0,3,3
Sahakara Nagar,VincyRe,1200.0,46.0,2,0,0,0,2
7th Phase JP Nagar,BriumMi,2100.0,200.0,3,2,0,3,3
Hebbal,Brium C,3520.0,240.0,5,2,0,3,3
5th Phase JP Nagar,Mangsr ,1041.0,54.0,2,2,0,3,2
Sarjapur  Road,Shthi S,1505.0,60.0,2,2,0,3,3
Bannerghatta,Mamespa,1776.0,150.0,3,2,2,3,3
Bellandur,OriewLa,1767.0,89.0,3,2,0,3,3
Rajiv Gandhi Nagar,Almid P,1293.0,80.0,2,2,0,3,2
Bhuvaneshwari Nagar,Viowsen,1280.0,68.48,2,2,0,0,2
Thanisandra,Bhe 2ko,1245.0,83.05,2,1,2,3,2
Kanakpura Road,PrarePa,1100.0,58.0,3,2,2,3,3
Kannamangala,Sonue A,1814.0,129.0,3,1,2,3,3
Ramagondanahalli,DNeremo,1610.0,112.0,2,1,0,3,3
Kasavanhalli,Oca 2 V,1600.0,79.0,3,3,2,3,3
Kanakpura Road,JRrnauv,1452.0,60.98,3,3,0,3,3
Ittamadu,Naory G,1475.0,75.0,3,3,0,3,3
Electronic City,SJityVe,1353.0,75.0,2,3,0,3,2
Whitefield,Pronege,4800.0,550.0,4,3,0,2,4
Sahakara Nagar,Rauil T,1270.0,96.0,2,1,0,0,2
Thanisandra,G conTh,2695.0,188.0,4,3,2,0,4
Hessarghatta,StwarSi,1330.0,65.0,3,2,0,3,3
BTM 2nd Stage,Catle C,1400.0,90.0,2,3,0,3,2
Kanakpura Road,PuandHi,1700.0,75.0,3,2,0,3,3
Kasavanhalli,Bhensa ,1585.0,90.0,2,2,0,0,2
Electronic City,Prarkun,1128.0,67.0,2,1,2,3,2
Whitefield,NVaree ,60.0,218.0,4,2,2,2,4
1Kasavanhalli,HMwerCo,1200.0,200.0,18,2,2,2,18
HSR Layout,VaiewV ,1203.0,60.0,2,2,0,3,2
Mallasandra,Shbhi S,905.0,35.0,2,1,0,3,2
Hennur Road,Orens G,1450.0,79.0,3,2,2,3,3
Varthur,MKllei ,1105.0,38.0,2,3,0,3,2
Jalahalli,Vanami ,1530.0,89.0,2,3,0,3,3
Whitefield,SMuilan,1105.0,35.4,2,1,0,3,2
Dasarahalli,KSliaor,1333.0,78.56,2,1,2,3,2
Old Madras Road,Saesttt,1530.0,76.34,3,2,2,3,3
Whitefield,BrlisCo,1270.0,94.0,2,1,0,3,2
Bellandur,OriewLa,1830.0,89.0,3,3,0,3,3
Attibele,AGoutLa,2400.0,250.0,2,2,0,2,4
Bannerghatta Road,SNity S,1450.0,78.0,2,2,0,3,3
Begur Road,Dhalsh ,1200.0,44.4,2,2,0,3,2
Bommanahalli,SNeur G,1215.0,73.17,2,0,0,3,2
Electronic City,GMown E,1070.0,57.0,2,1,2,0,2
CV Raman Nagar,Pu270a ,1980.0,180.0,4,1,0,3,3
Bommasandra,Niara S,842.0,30.0,2,2,0,3,2
Bannerghatta Road,Baanise,700.0,31.2,1,1,0,3,1
Dena Bank Colony,Chntsat,1100.0,75.0,2,2,0,0,2
Raja Rajeshwari Nagar,GrrvaGr,1196.0,40.54,2,2,0,3,2
Budigere,PrityTr,1820.0,85.0,3,2,0,3,3
Thanisandra,MenueNo,1185.0,43.5,2,2,0,3,2
Whitefield,Priew P,1220.0,89.0,2,1,0,3,2
Whitefield,Sonviik,1116.0,51.91,2,3,0,3,2
6th Phase JP Nagar,HMinebo,1192.0,75.0,2,3,0,3,2
Marathahalli,NCenega,1449.0,110.0,3,2,0,3,3
Ardendale,Somus A,2500.0,250.0,3,1,0,2,3
Electronic City,BrnoxEq,1700.0,90.0,3,2,0,0,3
Hebbal,Mahosya,1920.0,150.0,3,2,2,3,3
Hoodi,Hahtsde,1447.0,76.0,3,2,2,3,2
Kanakpura Road,Soazak ,1329.0,107.0,2,1,2,3,2
Sarjapur  Road,Esatea ,1314.0,70.44,2,2,0,0,3
Hosa Road,Sosisic,1513.0,103.0,3,1,2,3,3
Vittasandra,Prlla C,1246.0,67.5,2,1,0,3,2
Dasarahalli,Syonyph,1220.0,62.0,2,2,0,3,2
Kasavanhalli,Bhensa ,1245.0,80.0,2,2,0,3,2
Anantapuram,GKiewke,1495.0,63.0,2,1,0,3,3
Gollarapalya Hosahalli,Mauner ,996.0,36.5,2,2,0,0,2
Chikka Banaswadi,SuntsAp,1250.0,75.0,2,3,0,0,2
Chandapura,SunceEs,975.0,24.86,2,1,2,3,2
Thanisandra,Pronyt ,1261.0,80.0,2,1,0,3,3
Electronics City Phase 1,Raenti ,1080.0,46.0,2,2,0,0,2
Akshayanagara East,HoDewy ,1230.0,50.0,2,1,0,3,2
Bommasandra,SSestth,1260.0,49.36,3,1,2,3,3
HSR Layout,PuontFa,1590.0,135.0,2,2,0,3,3
Horamavu Agara,Suise S,1220.0,39.0,2,2,0,3,2
Electronic City Phase II,Sryalan,1320.0,38.12,2,1,2,3,3
Green Glen Layout,Solia D,1750.0,105.0,3,2,0,3,3
Whitefield,Iseenst,1436.0,62.15,2,3,0,3,3
Malleshwaram,Rintspa,1500.0,140.0,2,0,0,3,2
Varthur,Caiseur,1560.0,90.0,3,2,0,3,3
Belatur,Indanrt,1275.0,59.0,2,2,0,3,2
Bellandur,BhreeBa,2400.0,115.0,3,2,0,3,3
Kaggalipura,AxvamTa,3150.0,212.0,5,1,2,2,4
Karuna Nagar,CoinoCu,1960.0,165.0,3,2,0,3,3
JP Nagar,Brnumnn,3200.0,309.0,5,3,0,3,4
Yeshwanthpur,Vatra N,1195.0,100.0,2,2,0,3,2
Yelahanka,Neite T,1140.0,53.105,2,0,0,3,2
Sathya Sai Layout,Prowshi,4304.0,699.0,4,2,2,2,4
Sarjapur  Road,Supleon,2100.0,130.0,3,2,0,3,3
Kudlu,Srrnasa,1027.0,44.0,2,1,0,3,2
Whitefield,Leuseut,1575.0,250.0,4,3,0,2,4
Bommasandra,SSestth,1365.0,52.82,3,1,2,3,3
Yelahanka New Town,KHatsFl,650.0,18.0,1,1,0,3,1
7th Phase JP Nagar,LencyRe,1075.0,57.0,2,1,0,0,3
Banashankari,SuentAp,1100.0,63.0,2,1,0,3,2
Kammasandra,Daden G,1500.0,65.0,3,2,0,3,3
Vittasandra,Prlla C,1246.0,67.5,2,1,0,3,2
Bhoganhalli,Rosha I,1718.0,90.2,3,2,2,3,3
Bisuvanahalli,Prityel,1075.0,32.0,2,1,0,3,3
Hosur Road,Kelmsoy,1685.0,90.0,3,1,0,3,3
Guddadahalli,KSidems,1180.0,65.0,2,2,0,3,2
Ejipura,BadorSp,1200.0,60.0,2,1,0,0,2
Kanakpura Road,PrarePa,900.0,41.0,2,1,2,3,2
Chelekare,BhisePa,1000.0,45.0,2,1,0,0,2
Vittasandra,Prlla C,1404.0,70.0,2,1,0,3,2
Ramagondanahalli,DNeremo,1610.0,115.0,2,2,0,3,3
Varthur,Unris E,1760.0,85.0,2,1,2,3,2
Kashi Nagar,Adarkya,1190.0,42.0,2,2,0,0,2
Rajaji Nagar,PhestOn,2415.0,399.0,3,2,0,3,3
Gunjur,BMineis,1235.0,44.5,2,2,2,3,2
Nanjappa Garden,TNnumla,1275.0,55.0,2,3,0,3,2
Harlur,Prncyrn,1197.0,76.0,2,1,0,3,2
Begur Road,Pruthg ,644.0,32.0,1,1,2,3,1
Neeladri Nagar,SKisyDa,1105.0,30.0,2,2,2,3,2
Hormavu,ARaveSa,1206.0,55.0,2,1,0,3,2
Choodasandra,MJiyayl,1560.0,78.0,3,2,0,3,3
7th Phase JP Nagar,Brnia G,750.0,47.0,1,2,0,3,1
Billekahalli,Chuti S,1035.0,90.0,2,2,0,0,2
Sarjapur  Road,SJityaz,702.0,35.8,1,0,0,3,1
Allalasandra,Jaensa ,560.0,22.0,2,1,0,0,2
Yelahanka New Town,SLhidOr,1426.0,61.5,2,2,0,3,3
Green Glen Layout,Sortz Q,1885.0,135.0,3,2,0,3,3
Old Madras Road,SheldGr,935.0,37.77,2,0,2,3,2
Old Madras Road,Saesttt,1171.0,73.0,2,2,2,3,2
Budigere,PrityTr,1820.0,95.0,3,2,0,3,3
Raja Rajeshwari Nagar,GrrvaGr,1580.0,66.85,2,2,0,3,3
Whitefield,SMuilan,1452.0,46.29,2,2,0,3,3
Hennur Road,Mileeou,1445.0,89.56,2,1,0,3,3
Gollahalli,Meines ,1170.0,39.0,2,1,0,3,2
Kanakpura Road,PrarePa,1100.0,53.0,3,2,2,3,3
Rachenahalli,NRniad ,2600.0,160.0,3,2,0,0,3
Shikaripalya,ALtonea,1532.0,59.75,3,2,0,3,3
Jakkur,HRaniIb,1473.0,85.0,2,1,0,3,2
Kathriguppe,Prone M,1350.0,80.99,3,2,0,3,3
Prithvi Layout,Prigh L,4040.0,500.0,4,0,0,3,4
CV Raman Nagar,Pu270a ,1980.0,166.0,4,2,2,3,3
Hoodi,GoAirej,1660.0,128.0,3,2,2,3,3
Neeladri Nagar,Coleyli,4000.0,425.0,5,2,0,2,5
Malleshwaram,Sariaat,2475.0,340.0,4,3,0,3,3
R.T. Nagar,Esncyth,1080.0,48.0,2,1,0,3,2
Electronic City,Elodsre,1521.0,57.5,2,2,0,3,3
Aishwarya Crystal Layout,GRvasth,1053.0,51.0,2,0,0,0,2
Binny Pete,Shestlo,2406.0,289.0,5,2,2,3,3
Thanisandra,MenueNo,1430.0,51.48,2,2,0,3,3
Begur,SrSaira,2400.0,12.0,3,2,0,0,3
Uttarahalli,SBiewid,1000.0,39.5,2,2,0,3,2
Bannerghatta Road,Guranya,1630.0,68.0,3,3,0,3,3
Kammasandra,Pre 1ri,985.0,40.5,2,1,0,3,2
BTM 2nd Stage,Chaldi ,1200.0,70.0,2,2,0,3,2
Mico Layout,Amsomun,1670.0,59.0,3,2,0,3,3
Sarjapur  Road,Saacesa,1240.0,110.0,4,0,2,2,4
Maheswari Nagar,AsensGa,1000.0,60.0,2,2,0,0,2
Begur Road,Pruthg ,2400.0,122.5,6,0,2,3,4
Haralur Road,RInceeg,1140.0,43.0,2,2,0,3,2
Nagarbhavi,Deens G,1635.0,85.0,3,3,0,3,3
Sector 7 HSR Layout,Saitya ,1760.0,185.0,3,2,0,3,3
Harlur,SrEndPo,2137.0,110.0,3,2,0,3,3
Hennur Road,Koagati,973.0,50.74,2,1,0,3,2
Kundalahalli,Dieldli,1724.0,146.0,3,1,2,3,3
Kambipura,Prrtht ,883.0,49.0,2,1,0,3,2
Ramagondanahalli,DNeremo,2787.0,220.0,5,2,0,3,4
Devasthanagalu,Grmes L,1470.0,60.0,2,3,0,0,3
Electronics City Phase 1,DSrry S,891.0,24.95,2,1,2,3,2
Kothanur,Somumys,1787.0,120.0,3,2,0,3,3
Sarjapur  Road,Adeatlm,1320.0,110.0,2,2,0,3,2
Yeshwanthpur,Aroomba,1692.0,108.0,3,3,2,3,3
Bannerghatta Road,SNity S,1400.0,69.0,3,2,0,3,3
Whitefield,Sparam ,1370.0,56.0,2,2,0,3,2
Thirumenahalli,MNtha A,1602.0,56.0,3,2,2,3,3
GM Palaya,Srg Bnc,675.0,35.0,1,1,0,3,1
Chikka Tirupathi,Theanmp,3250.0,136.0,4,2,0,0,4
Whitefield,Prarat ,1050.0,43.0,2,3,0,3,2
Jalahalli East,Srigmsw,1035.0,42.5,2,1,0,0,2
Sarjapur  Road,MJinele,1200.0,44.0,2,2,2,3,3
Sarjapur  Road,Saitya ,1800.0,128.0,3,2,0,3,3
Green Glen Layout,Prodsm ,1625.0,70.0,3,2,0,0,3
Electronics City Phase 1,DSsicky,1032.0,31.99,2,1,2,3,2
Whitefield,Asarqz ,1496.0,71.81,2,1,2,3,3
Electronic City Phase II,Sryalan,1125.0,32.63,2,1,2,0,2
Chikka Banaswadi,MSadeed,1555.0,73.0,3,3,0,3,3
Amruthahalli,Srncy R,1025.0,42.0,2,1,0,3,2
Hennur Road,Puachal,1482.0,83.73,2,1,2,3,3
Arekere,Prdowth,900.0,44.5,2,1,0,3,2
Yelahanka,Rarthne,1355.0,75.0,2,3,0,3,3
Suraksha Nagar,AritaFe,1563.0,63.0,3,2,0,3,3
Marathahalli,Prionad,1360.0,101.0,2,1,0,3,2
Hegde Nagar,Golmsn ,1835.0,88.0,3,3,0,3,3
Rachenahalli,NRodsen,1756.0,110.0,3,2,0,0,3
8th Phase JP Nagar,MBodsen,1296.0,51.83,2,2,0,3,3
Haralur Road,NDionas,1300.0,75.0,2,1,0,3,2
Anandapura,ViensRK,1141.0,50.0,2,1,0,3,2
Electronic City,DSgmax ,1210.0,55.0,2,1,0,0,2
Hormavu,Savar S,1310.0,67.0,2,2,0,3,2
Magadi Road,Vrenty ,1052.0,55.195,2,0,2,3,3
Gubbalala,MauilTr,1745.0,140.0,3,2,0,3,3
Electronic City Phase II,Sryalan,1140.0,34.0,2,1,2,3,2
Varthur,Vaensia,1210.0,54.0,2,2,0,3,2
Sarjapur,DSousyl,633.0,17.09,1,1,0,3,1
Amruthahalli,Prowsi ,485.0,19.5,1,1,0,0,1
Varthur,DSingSt,1112.0,40.0,2,2,0,3,2
Sarjapur  Road,Adeatlm,2275.0,187.0,4,2,0,3,3
Doddanakundi Industrial Area 2,BrlonAv,1419.0,85.0,3,2,0,3,3
Kundalahalli,Dieldli,1047.0,91.0,2,2,0,3,2
Thanisandra,Soitya ,1884.0,117.0,4,2,0,3,3
Bannerghatta Road,SNity S,905.0,58.0,2,1,0,3,2
JP Nagar,Brwernn,1500.0,108.0,2,1,0,3,3
Hennur Road,Maity W,1305.0,77.0,2,1,0,3,3
Billekahalli,Asity S,1125.0,65.0,2,1,0,3,2
BSM Extension,Raave E,865.0,33.0,2,2,0,3,2
Jigani,DLhtsen,1245.0,66.0,3,3,0,3,3
Udayagiri,Ozquaba,1145.0,60.0,2,2,0,3,3
AECS Layout,Concyvi,2000.0,90.0,3,1,0,0,3
Hosa Road,Skume R,625.0,43.68,1,1,2,3,1
Kundalahalli,Dieldli,1724.0,128.0,3,2,0,3,3
Sarjapur  Road,Shthi S,1270.0,54.0,2,1,0,3,3
Jakkur,ArndsSk,1485.0,72.0,3,2,2,3,3
Ambedkar Nagar,SoechHa,1950.0,120.0,4,2,0,3,3
Yelahanka,Pyikad ,1756.0,125.0,3,2,0,3,3
Chandapura,SuVue S,520.0,14.04,1,1,2,3,1
Doddakannelli,Jyavet ,1025.0,48.0,2,1,0,0,2
Sarjapur  Road,Adeatlm,3335.0,300.0,4,3,0,3,4
Begur,Arera V,1411.0,60.0,2,2,2,3,3
Kanakpura Road,SPthara,1320.0,39.6,2,1,0,3,3
Bannerghatta,Srentea,1320.0,50.0,2,0,0,0,2
Kalena Agrahara,Prillot,1804.0,155.0,3,2,0,3,3
HSR Layout,NRosete,1140.0,46.0,2,2,0,3,2
Hebbal,Prersis,2375.0,189.0,4,2,0,3,4
Thanisandra,Bhmesy ,965.0,54.0,2,1,0,3,2
Lingadheeranahalli,Soiewre,1684.0,120.0,3,1,0,3,3
Hennur Road,MItatHa,1672.0,86.0,3,2,0,3,3
Panathur,Saite G,1075.0,60.0,2,2,0,3,2
Sarjapur,PulokPu,1500.0,95.0,5,2,0,2,3
Hebbal,Mahosya,1420.0,99.26,2,1,2,3,2
Yeshwanthpur,IBityin,1169.0,64.08,2,2,0,3,2
Devanahalli,Cerdsga,1290.0,62.0,2,1,2,3,3
Mysore Road,Brama P,1500.0,70.0,3,2,0,3,3
Electronic City Phase II,Sryalan,1310.0,37.84,2,1,2,3,3
Bhoopsandra,E onsg ,2150.0,170.0,3,0,0,3,3
Sarjapur  Road,Usquaya,1025.0,45.5,2,2,0,3,2
Electronic City,GMown E,1070.0,60.0,2,1,2,0,2
Begur,Prorath,815.0,40.0,2,1,0,3,2
Kanakpura Road,SoestSu,2000.0,105.0,3,3,0,0,3
ITPL,Toodyit,5666.0,300.0,5,0,0,3,4
Hegde Nagar,Sotosty,3500.0,450.0,5,2,0,2,4
KR Puram,LVniaar,1205.0,45.79,2,1,0,3,2
Jakkur Plantation,Reicace,1368.0,87.0,2,3,0,3,2
Yelahanka,Juclend,1408.0,58.0,2,2,0,3,2
Reliaable Tranquil Layout,Sariana,1507.0,80.0,3,1,0,0,3
Poorna Pragna Layout,Pathira,960.0,50.0,2,3,0,0,2
NGR Layout,BSian M,1021.0,46.0,2,2,0,3,2
Hegde Nagar,SoisoCa,2162.03,129.0,4,2,0,3,3
Channasandra,Unm 2El,1065.0,36.0,2,1,0,3,2
Attibele,Jae 2hu,400.0,10.25,1,1,0,3,1
Bannerghatta Road,SNity S,1465.0,75.0,2,1,0,3,3
Kanakpura Road,PrarePa,900.0,41.0,2,1,2,3,2
Marathahalli,Vaoodar,1800.0,95.0,3,2,0,3,3
Amblipura,IDldsin,1175.0,83.0,2,2,0,3,2
Sanjay nagar,BSiumly,1050.0,59.0,2,0,0,3,2
Electronic City Phase II,Sryalan,1400.0,40.43,2,2,2,0,3
Indira Nagar,Goyalir,1650.0,150.0,3,1,0,3,3
KR Puram,Srystme,1827.0,97.0,3,2,0,3,3
Thanisandra,Soitya ,1930.0,122.0,4,2,0,3,3
Mysore Road,PrawnRa,883.0,37.0,2,1,2,3,2
Kanakapura,SPavenc,1290.0,38.69,2,3,0,3,3
Doddaballapur,Vahid O,2400.0,200.0,3,0,0,2,4
Munnekollal,Sadhii ,1200.0,57.9,2,1,2,3,3
JP Nagar,RaosePr,1520.0,125.0,3,2,0,0,3
Thanisandra,Bhe 2ko,620.0,38.46,1,0,2,3,1
EPIP Zone,BrontLa,2710.0,177.0,3,2,0,3,3
Kenchenahalli,AriosPa,1150.0,57.0,2,2,0,3,2
Mahalakshmi Layout,RSntsja,1200.0,110.0,2,3,0,3,3
Hebbal,Oztarol,1252.0,92.0,2,1,2,3,2
Marathahalli,Vaoodar,1650.0,85.0,3,2,0,3,3
Marathahalli,Aantspa,1270.0,80.0,2,2,0,0,2
Tumkur Road,Sahtsva,992.0,70.0,2,1,0,3,2
Bisuvanahalli,Prityel,1075.0,41.49,2,1,0,0,3
Electronic City,MAnceun,1190.0,42.0,2,1,0,3,2
Sarjapur  Road,Ascid P,1814.0,63.0,3,3,0,3,3
Rahmath Nagar,Malah A,1400.0,98.0,3,2,0,0,3
Murugeshpalya,Vauna F,1344.0,56.0,2,0,0,3,3
Whitefield,Prrry M,5400.0,475.0,5,3,0,2,4
Kanakpura Road,PuandHi,1843.0,95.0,3,2,0,3,3
Chikkadunnasandra,SoasaSa,1138.0,32.0,2,1,2,3,2
Nagappa Reddy Layout,Ablmsol,1495.0,70.0,2,2,0,0,3
Electronic City,Itelaa ,880.0,19.0,2,1,0,3,2
Whitefield,Alsta F,1396.0,74.0,3,1,2,3,3
Garudachar Palya,BrlisMe,1610.0,119.0,2,3,0,0,3
Kumbena Agrahara,Shont F,1410.0,43.71,2,2,2,0,3
Yelahanka,Rarthne,1104.0,58.0,2,2,0,3,2
Hennur Road,Orens G,1165.0,67.0,2,1,2,3,2
Hormavu,Savar S,1310.0,60.0,2,3,0,3,2
Jayanagar,PrianM ,2240.0,300.0,3,2,2,3,3
Electronic City,DSgmax ,1150.0,38.08,2,1,0,3,2
Thanisandra,DSity S,2019.0,70.67,3,1,2,3,3
Varthur,Hirio L,986.0,31.0,2,1,0,3,2
Gollarapalya Hosahalli,Mauner ,1318.0,56.0,3,2,0,3,3
Yelahanka,DSeak S,1325.0,58.0,2,2,0,0,3
Kereguddadahalli,N iewak,800.0,33.0,2,1,0,0,2
Jalahalli East,ShshaSa,1010.0,52.0,2,1,0,3,2
Banashankari,Goeesem,1260.0,75.0,2,3,0,3,2
Halanayakanahalli,Asncy P,1520.0,165.0,3,1,0,2,3
Bellandur,GoncyRe,1665.0,85.0,3,1,0,3,3
Subramanyapura,Chllsev,1800.0,80.0,3,1,0,3,3
Harlur,Prncyrn,1197.0,75.0,2,1,0,3,2
Thanisandra,Pronyt ,1241.0,68.0,2,1,0,3,3
Maithri Layout,ItAnuna,1567.0,62.0,2,3,0,3,3
Kasavanhalli,Salisal,1747.0,110.0,3,1,0,3,3
Ramagondanahalli,ViistLa,1475.0,55.0,2,2,2,3,3
Hennur Road,Koagati,980.0,51.0,2,1,0,3,2
Dasanapura,Tavenew,966.0,58.0,2,1,2,3,2
Ferrar Nagar,Leton A,2360.0,185.0,3,2,0,3,4
Sarjapur  Road,AsastDe,1112.0,62.0,2,1,2,3,2
Electronic City,Itelaa ,550.0,16.0,1,1,0,3,2
Surabhi Layout,VDdonel,1760.0,90.0,3,3,0,0,3
Hennur,Bront A,1830.0,113.0,2,3,0,3,3
Yelahanka,Masser ,1175.0,67.77,2,1,2,3,2
Whitefield,SSthamh,1175.0,41.0,2,1,0,3,2
Hennur Road,Puachal,1232.0,80.0,2,1,2,3,2
5th Phase JP Nagar,Rewelav,1010.0,57.0,2,2,0,0,2
Sarjapur  Road,VHinoel,1273.0,60.0,2,2,0,3,2
Battarahalli,PaontWa,1590.0,102.0,2,2,2,3,2
Air View Colony,Myitece,1100.0,58.5,2,1,0,3,2
Electronic City Phase II,Brods W,1252.0,65.0,2,1,0,3,3
1st Phase JP Nagar,Prhtsok,2615.0,222.0,5,3,0,3,4
Harlur,Prncyrn,1755.0,117.0,3,2,0,3,3
Electronic City Phase II,Rie 2ri,1135.0,46.0,2,2,0,3,2
Ambedkar Nagar,Thessrm,3500.0,550.0,4,2,0,2,4
Kanakpura Road,PrarePa,1100.0,53.0,2,1,2,3,3
Ayappa Nagar,Saionl ,1236.0,50.0,2,1,0,0,2
KR Puram,SancyRe,1075.0,32.25,2,2,2,0,2
Kadugodi,MSingco,1150.0,42.0,2,2,0,3,2
Hennur Road,GSideS ,1085.0,43.4,2,1,0,3,2
Hebbal Kempapura,Goateds,1785.0,165.0,3,0,0,0,3
Malleshwaram,Sariaat,2475.0,300.0,4,3,0,3,3
Thanisandra,Soitya ,1930.0,120.0,4,2,0,3,3
Bannerghatta Road,SNity S,1920.0,122.0,3,3,0,3,3
Thanisandra,Bhmesy ,760.0,50.4,1,2,0,3,1
Sahakara Nagar,Kencyes,1201.0,80.0,2,3,0,0,2
Electronic City,Prarkun,1615.0,97.0,3,2,2,3,3
HSR Layout,AaineSi,1289.0,70.0,2,2,0,3,2
Budigere,PrityTr,1991.0,100.0,4,2,0,3,3
Kasavanhalli,HMonymp,1377.0,80.0,2,2,0,3,2
Cunningham Road,LeDuvMy,2880.0,560.0,3,2,0,3,3
Laxmi Sagar Layout,Pudgear,1892.0,200.0,3,2,0,2,3
Shivaji Nagar,HMqueu ,2176.0,348.0,3,3,0,0,3
Thanisandra,Bhe 2ko,663.0,32.82,1,0,2,3,1
Talaghattapura,Toreeic,3554.0,340.0,4,1,0,3,3
Thanisandra,MenueNo,1260.0,45.5,2,1,0,3,2
Volagerekallahalli,PSterAs,1095.0,39.0,2,1,0,0,2
Seegehalli,Sriferi,1176.0,50.0,2,2,0,3,2
Thanisandra,Soitya ,1801.0,115.0,3,2,0,3,3
Parappana Agrahara,Peide L,1194.0,46.0,2,2,0,3,2
Uttarahalli,JPismPr,1308.0,53.0,2,3,2,3,3
Sarjapur  Road,AdlasRe,4250.0,610.0,4,2,0,2,4
Thanisandra,Soitya ,1806.0,116.0,6,2,0,3,3
Hoodi,EsaceLe,2144.0,140.0,3,2,0,3,3
Hoskote,Corus C,1065.0,33.75,2,3,0,0,2
Balagere,Soresea,1205.0,67.0,2,1,2,3,2
Uttarahalli,SLnssPr,1160.0,40.58,2,2,0,3,2
Parappana Agrahara,Peide L,1194.0,47.0,2,2,0,3,2
Iblur Village,Emine P,3633.0,335.0,5,1,0,3,4
Kanakpura Road,PuandHi,1843.0,90.0,3,2,0,0,3
Thubarahalli,SaodsGr,1885.0,85.52,3,2,0,3,3
TC Palaya,BSersTo,1126.0,39.4,2,1,0,3,2
Rayasandra,MJeusyl,1357.0,59.0,2,2,0,3,3
Whitefield,SMuilan,1451.0,46.4,2,2,0,3,3
Hennur Road,Mileeou,950.0,55.0,2,1,0,3,2
Bellandur,Srure S,960.0,48.0,2,2,0,0,2
Kaggalipura,AxvamTa,2200.0,150.0,4,1,2,2,3
Ambalipura,Dimes E,1607.0,112.0,2,2,0,3,3
Kanakpura Road,PrarePa,900.0,46.29,2,1,2,3,2
Shree Ananth Nagar Layout,ViortCo,1080.0,38.0,2,2,0,0,2
Hosa Road,Pamesy ,1708.0,64.05,3,0,0,3,4
Bellandur,Krala D,1690.0,116.0,2,2,0,3,3
Haralur Road,RInceeg,1243.0,46.0,2,2,0,3,2
Electronic City Phase II,Sryalan,1165.0,33.64,2,1,2,0,2
Parappana Agrahara,Peide L,1194.0,47.0,2,2,0,3,2
Old Madras Road,Brglede,1630.0,110.0,3,2,0,3,3
Whitefield,ARipsul,1063.0,42.52,2,1,2,3,2
Shikaripalya,ALtonea,1025.0,39.98,2,1,0,3,2
Kanakpura Road,Soazak ,1299.0,89.63,2,1,2,3,2
Panathur,Diarknt,1343.0,76.0,2,1,2,3,2
Mallasandra,ShnyeSy,1524.0,72.0,2,3,0,3,3
Lingadheeranahalli,Soiewre,2236.0,153.0,4,2,0,3,4
Domlur,IBictnd,2955.0,235.0,3,2,0,3,3
Balagere,Soresea,1205.0,79.0,2,1,0,3,2
Gopalapura,Sothadr,1950.2,261.0,3,2,2,3,3
Sarjapur  Road,AsastDe,1157.0,69.0,2,1,2,3,3
Kanakapura,GoityEt,712.0,35.475,1,0,2,3,1
Sarjapur  Road,Usquaya,1000.0,40.0,2,2,0,0,2
Yelahanka,Prensya,602.0,33.0,1,1,2,0,1
Hoodi,GoAirej,1108.0,66.46,2,0,2,3,2
Raja Rajeshwari Nagar,GrrvaGr,1196.0,40.54,2,2,0,3,2
Kanakpura Road,Maionus,850.0,37.32,1,1,2,3,1
Gopalapura,Sothadr,2171.66,298.0,3,2,2,3,3
