location,total_sqft,price,bath_processed,balcony_processed,availability_encoded,area_type_encoded,size_cleaned
Varthur Road,1140.0,49.11,2,2,2,3,2
Banjara Layout,900.0,79.0,3,1,0,2,3
Jaya Mahal layout,2648.0,238.0,3,3,0,3,3
Judicial Layout,5400.0,700.0,4,3,0,2,5
Banashankari,1372.0,48.02,2,2,0,3,3
Sanne Amanikere,1455.0,45.0,2,1,0,0,3
Hebbal,1100.0,38.0,2,2,0,3,2
Raja Rajeshwari Nagar,1295.0,55.47,2,1,0,3,2
Vajarahalli,1475.0,80.0,3,1,2,3,3
Nagavarapalya,1788.0,164.0,3,1,2,3,3
Haralur Road,1243.0,46.0,2,1,0,3,2
Yeshwanthpur,1855.0,140.0,3,3,0,3,3
Kudlu Gate,1850.0,120.0,3,2,2,3,3
Marathahalli,1315.0,60.0,2,2,0,3,3
Whitefield,1216.0,73.0,2,1,2,3,2
Brooke Bond First Cross,1721.0,93.0,3,2,0,3,3
Sonnenahalli,1059.0,62.0,2,1,2,3,2
Kadubeesanahalli,1184.0,55.0,2,1,0,0,2
Yelahanka,1400.0,175.0,5,2,0,2,7
Koramangala,2223.0,300.0,3,2,0,3,3
Kodbisanhalli,1480.0,75.0,3,2,0,0,3
Kodigehalli,635.0,28.0,1,1,0,3,2
BEML Layout,2400.0,228.0,2,1,0,2,2
JP Nagar,1500.0,87.0,2,0,0,0,4
Hosa Road,1143.0,34.2,2,1,2,3,2
Sarjapur  Road,3200.0,350.0,4,1,0,2,4
Kanakpura Road,3170.0,250.0,4,3,2,2,4
Vaishnavi Layout,4800.0,420.0,4,3,0,0,4
Kothannur,1485.0,59.4,2,2,0,3,3
Rajaji Nagar,1640.0,251.0,3,2,0,3,3
Hennur,1655.0,70.5,2,1,0,3,3
2nd Phase Judicial Layout,900.0,41.0,2,2,2,3,2
Somasundara Palya,1600.0,69.0,3,3,0,3,3
Neelamangala,1163.0,68.0,2,2,0,0,2
Yelahanka New Town,1556.5949939731809,18.0,2,1,0,1,1
Hennur Road,1654.0,97.8,3,1,0,3,3
Pragathi Nagar,799.0,33.645,1,0,2,3,1
Ngef Layout,2100.0,1000.0,3,1,0,0,4
Bellandur,1685.0,101.0,3,3,2,3,3
Banashankari,1540.0,80.0,3,3,0,0,3
Thanisandra,1265.0,72.0,2,1,2,3,2
Kasavanhalli,1200.0,38.4,2,3,0,3,3
Amblipura,1300.0,80.0,2,1,0,0,3
Sultan Palaya,1009.0,65.0,2,1,0,3,2
Ramamurthy Nagar Extension,1540.0,65.0,3,2,0,3,3
Bellandur,1735.0,105.0,3,3,0,0,3
HSR Layout,2500.0,300.0,4,3,0,2,4
Marsur,497.0,20.0,1,1,0,3,2
Hosakerehalli,2480.0,265.0,4,1,0,3,3
Electronic City,1142.0,35.0,2,0,0,0,2
Doctors Layout,1215.0,46.8,2,2,2,3,3
Electronic City,1070.0,48.0,2,1,0,3,2
Electronic City Phase II,1125.0,32.49,2,1,2,3,2
Bommasandra Industrial Area,1125.0,32.49,2,1,2,0,2
Kasavanhalli,1575.0,85.0,2,3,0,3,2
Hosa Road,1360.0,77.61,2,1,2,3,2
Haralur Road,1710.0,85.0,3,2,0,3,3
Electronic City Phase II,1200.0,34.65,2,1,2,3,2
Bannerghatta Road,2185.0,120.0,3,3,0,3,4
Bagalur,2400.0,135.0,4,3,0,0,4
Banashankari,1195.0,35.84,2,1,0,3,2
Vittasandra,1246.0,67.0,2,1,0,3,2
Bannerghatta Road,1012.0,45.0,2,1,0,3,2
Ganga Nagar,998.0,65.0,2,2,0,3,2
Doddaballapur,2400.0,250.0,3,1,0,2,3
7th Phase JP Nagar,1130.0,85.0,2,2,0,3,2
Koramangala,1744.0,210.0,4,1,0,3,3
Rajaji Nagar,2733.0,259.0,5,2,2,3,4
Karuna Nagar,1354.0,98.0,2,1,0,3,3
Maruthi Nagar,3300.0,450.0,9,1,0,2,10
Brookefield,1389.0,94.0,2,2,0,3,2
Sarjapur,2970.0,130.0,3,3,0,2,4
Cooke Town,2560.0,310.0,4,3,0,3,3
Lakshminarayana Pura,1172.0,75.0,2,2,0,3,2
5th Block Jayanagar,500.0,75.0,2,1,0,2,3
Kaggadasapura,1495.0,60.0,3,2,0,3,3
Varthur,1738.0,57.35,2,1,0,3,2
Dodda Nekkundi,1315.0,50.0,2,2,0,3,2
Marathahalli,1270.0,73.0,2,3,0,3,2
Electronic City Phase II,1160.0,52.2,2,1,2,3,2
Raja Rajeshwari Nagar,1450.0,67.0,2,1,0,3,3
Rayasandra,470.0,21.0,1,1,0,0,1
2nd Phase JP Nagar,1040.0,78.0,2,2,0,0,2
Sarjapur,1205.0,29.0,2,2,0,3,2
KSRTC Layout,1215.0,50.0,2,3,0,3,3
Whitefield,1135.0,58.0,2,2,0,3,2
8th Phase JP Nagar,1224.0,48.95,2,2,0,3,3
Budigere,664.0,34.0,1,1,0,0,1
Electronic City,1160.0,42.0,2,2,0,3,3
Babusapalaya,1200.0,105.0,2,0,0,2,2
Bommasandra Industrial Area,1220.0,35.2,2,1,2,0,3
Bharathi Nagar,1328.0,69.0,2,2,0,3,2
BSM Extension,975.0,45.0,2,2,0,3,2
Ambedkar Colony,1907.0,200.0,2,1,0,0,3
Malleshwaram,900.0,72.0,2,1,0,0,2
Banashankari 6th Stage,1330.0,80.0,2,2,0,3,2
Rajiv Nagar,2330.0,175.0,5,1,0,3,4
Munnekollal,1222.0,95.0,3,2,0,0,3
Dodsworth Layout,4446.0,410.0,3,2,0,2,3
Sarjapur  Road,2100.0,135.0,3,1,0,3,3
Sarjapur  Road,3335.0,290.0,4,3,0,3,4
Whitefield,3150.0,290.0,3,1,2,0,3
Jnana Ganga Nagar,1320.0,95.0,2,1,0,2,3
9th Phase JP Nagar,820.0,140.0,7,3,0,2,7
Shetty Halli,8000.0,550.0,5,3,0,2,5
Hennur Road,2400.0,500.0,5,3,0,2,4
Uttarahalli,1330.0,46.55,2,2,0,3,3
Hosur Road,2000.0,130.0,4,1,0,2,4
Electronic City Phase II,1244.0,55.0,2,1,2,3,2
Konena Agrahara,1000.0,50.0,2,1,0,3,2
Gunjur Palya,1400.0,45.0,3,2,2,3,3
Vignana Nagar,1000.0,35.0,2,2,0,3,2
Rajaji Nagar,1056.0,250.0,1,0,0,2,2
Uttarahalli,1250.0,50.0,2,2,0,3,3
Hebbal,2470.0,188.0,5,0,2,3,4
Jeevan bima nagar,1225.0,48.0,2,2,2,3,2
Hebbal,2790.0,198.0,5,3,2,3,4
Indira Nagar,2800.0,365.0,4,3,0,3,4
Seegehalli,1683.0,80.0,3,3,0,3,3
Yelahanka,1250.0,54.0,2,2,0,0,2
Hennur Road,1305.0,110.0,2,1,0,3,3
Sarjapur  Road,3009.0,331.0,3,1,0,2,3
Kaggalipura,1150.0,57.5,2,1,0,3,3
Kaggadasapura,1654.0,70.0,3,3,0,0,3
Munivenkatppa Layout,4500.0,225.0,3,0,0,1,4
Kadugodi,1890.0,125.0,4,3,2,3,3
Kasavanhalli,1069.0,55.0,2,2,0,3,2
Chandapura,750.0,18.5,1,1,0,3,2
Banashankari,675.0,140.0,4,0,0,2,4
Hormavu,2400.0,177.0,3,1,2,0,3
2nd Stage Nagarbhavi,1200.0,240.0,4,2,0,2,5
Koramangala,1410.0,280.0,2,0,0,2,4
7th Phase JP Nagar,1680.0,130.0,3,3,0,3,3
Sadanand Nagar,3500.0,500.0,4,2,0,3,3
Sarjapur  Road,1700.0,93.5,3,2,2,3,3
Brindavan Layout,2200.0,150.0,2,0,0,2,4
Thanisandra,1595.0,105.0,3,1,0,3,3
Hennur Road,1480.0,100.0,3,1,2,3,3
Bethel Nagar,1092.0,95.0,3,1,0,2,3
Koramangala,1866.0,245.0,4,2,2,3,3
Hebbal,3895.0,390.0,3,2,0,3,3
Banashankari,1683.0,115.0,3,2,0,3,3
Dasanapura,545.0,22.34,2,1,0,3,2
Banaswadi,1340.0,73.0,2,2,0,3,2
"Judicial Layout, Kanakapura Road, ",1100.0,53.0,3,2,2,0,3
Akshaya Nagar,2000.0,200.0,1,0,0,2,1
Whitefield,1185.0,56.0,2,2,0,3,2
Chandapura,1025.0,27.68,2,2,2,3,2
Haralur Road,1730.0,95.0,3,1,0,3,3
Hennur Road,1450.0,88.6,3,1,2,3,3
Sarjapur  Road,1862.0,110.0,4,1,0,3,3
Sarjapur  Road,4000.0,578.0,5,1,0,2,4
Old Madras Road,2430.0,180.0,5,2,0,0,3
Hoodi,783.0,40.55,1,0,2,3,1
Chambenahalli,1170.0,50.0,2,3,0,3,2
B Narayanapura,1075.0,50.0,2,2,0,3,2
Kodichikkanahalli,1060.0,34.0,2,1,0,3,2
Sarjapur,850.0,32.0,2,2,2,3,2
P&T Layout,935.0,45.9,2,1,0,3,2
Gollarapalya Hosahalli,1905.0,86.0,3,1,0,0,4
8th Block Jayanagar,2000.0,300.0,6,3,0,0,6
Uttarahalli,1125.0,47.0,2,1,0,3,2
9th Phase JP Nagar,600.0,75.0,6,2,0,2,6
Chikkabanavar,1500.0,105.0,4,1,0,0,4
Bannerghatta Road,1725.0,85.0,3,3,0,0,3
Dodda Banaswadi,1120.0,36.0,2,3,0,3,2
Brookefield,1750.0,75.0,2,2,0,3,3
7th Phase JP Nagar,2000.0,77.0,3,2,2,3,3
Koramangala,1745.0,98.0,3,3,0,0,3
Bagalakunte,750.0,95.0,3,1,0,2,5
Uttarahalli,1270.0,55.25,2,2,0,3,3
Iblur Village,5384.0,420.0,5,3,0,3,5
Sahakara Nagar,1180.0,72.0,2,2,0,3,2
Shanti Nagar,1130.0,75.0,2,1,0,0,2
Old Airport Road,2774.0,197.0,4,3,2,3,4
Ardendale,1723.0,95.0,3,2,0,3,3
Mysore Road,1175.0,70.5,2,2,0,0,2
Ambalipura,1607.0,112.0,2,2,0,3,3
Varanasi,1334.0,62.0,2,1,2,0,2
Vishwapriya Layout,2800.0,130.0,5,3,0,0,5
Bellandur,1138.0,128.0,3,2,2,3,3
Bannerghatta,1113.0,70.0,2,1,2,3,2
9th Phase JP Nagar,1300.0,58.0,2,2,0,0,3
Judicial Layout,2400.0,350.0,4,2,0,2,4
Sahakara Nagar,1200.0,60.0,2,2,0,0,2
cooketown,1900.0,190.0,3,2,0,3,3
Jakkur,5150.0,559.0,4,3,0,3,4
2nd Stage Nagarbhavi,1200.0,290.0,5,3,0,2,5
Whitefield,2956.0,234.0,5,3,2,3,4
Begur Road,1100.0,165.0,5,1,0,2,5
Panathur,1398.0,97.0,2,1,2,3,2
Margondanahalli,1152.0,66.0,1,0,0,2,2
Rajarajeshwarinagar,1200.0,325.0,5,0,0,2,4
Nagavara,1110.0,44.95,2,2,0,3,2
 Devarachikkanahalli,1116.0,47.0,2,1,0,0,2
Babusapalaya,1061.0,33.84,2,1,0,3,2
Malleshwaram,620.0,86.8,1,1,0,3,1
7th Phase JP Nagar,1300.0,52.0,2,2,0,3,3
Yelahanka,1270.0,57.0,2,2,0,0,2
Peenya,966.0,50.0,2,2,2,3,2
AMS Layout,1200.0,110.0,4,1,0,2,4
Kodigehalli,1320.0,249.0,4,3,0,2,4
Iblur Village,3596.0,297.0,5,1,0,3,4
Kathriguppe IV Phase,1630.0,131.0,3,2,2,3,3
Kodipalya,600.0,72.0,6,3,0,3,5
Ramchandrapuram,600.0,60.0,4,2,0,2,4
Amruthahalli,1202.0,65.0,2,1,0,3,2
Pampa Extension,1200.0,250.0,4,2,0,2,4
Jakkur,1300.0,80.0,2,2,0,0,2
Uttarahalli,1200.0,330.0,6,2,0,2,6
Electronic City,1360.0,70.0,2,1,0,3,3
Hennur Road,1155.0,69.18,2,1,0,3,2
Hosakerehalli,2378.0,310.0,3,1,0,3,3
Hulimavu,1011.0,38.0,2,2,0,3,2
HSR Layout,1203.0,72.0,2,2,0,0,2
Hebbal,1645.0,113.0,3,2,2,3,3
Horamavu Agara,1364.0,50.0,2,3,0,3,3
Anekal,1200.0,36.0,1,1,2,2,2
KR Layout,1050.0,41.0,2,2,0,0,1
Kothanur,1365.0,66.0,3,3,0,3,3
Jigani,1252.0,70.0,3,3,0,3,3
Jigani,1221.0,65.0,3,2,0,3,3
Panathur,1065.0,58.0,2,1,0,0,2
Uttarahalli,1270.0,55.25,2,1,0,3,3
Sahakara Nagar,1032.0,45.0,2,2,0,0,2
Frazer Town,2900.0,325.0,4,2,0,3,4
Sector 2 HSR Layout,1515.0,69.0,2,3,0,3,3
Akshaya Vana,1427.0,52.0,2,2,0,3,2
Magadi Road,940.0,50.0,2,2,0,3,2
Medahalli,800.0,95.0,5,1,2,2,5
Bannerghatta Road,1460.0,80.0,2,2,0,3,3
Sarjapur  Road,2275.0,175.0,4,2,0,3,3
9th Phase JP Nagar,1522.0,90.0,3,2,2,3,3
Basaveshwara Nagar Yelahanka,3210.0,380.0,4,2,2,2,3
Thanisandra,1185.0,42.67,2,2,0,3,2
1Hoysalanagar,5425.0,275.0,13,0,0,3,13
Banashankari,1800.0,125.0,3,2,0,0,3
Electronics City Phase 1,940.0,44.0,2,1,2,3,2
Andrahalli,1200.0,135.0,4,2,0,2,4
Marathahalli,1530.0,71.0,3,2,0,3,3
Gollahalli,1050.0,48.0,2,1,0,0,2
Subramanyapura,929.0,49.0,2,2,0,3,2
Banjara Layout,3750.0,145.0,5,3,0,0,4
Whitefield,1530.0,75.0,3,3,0,3,3
PC Palaya,900.0,48.0,2,1,0,2,2
Vasanthapura,978.0,34.22,2,1,0,3,2
Sathya Sai Layout,4041.0,345.0,4,2,0,0,4
Ambalipura,770.0,43.82,1,2,0,3,1
Kaval Byrasandra,1066.0,55.0,2,3,0,0,2
Electronic City,635.0,28.0,1,0,0,3,1
Whitefield,1015.0,45.0,2,1,0,3,2
Hebbal,1175.0,54.05,2,0,0,0,2
Chikkabanavar,1200.0,130.0,4,2,0,2,4
Vidyaranyapura,1188.0,50.0,2,1,2,3,2
Indira Nagar,2400.0,700.0,5,2,0,2,5
Soppahalli,620.0,25.0,1,1,2,3,1
Ejipura,1210.0,75.0,2,0,0,0,2
Attibele,1000.0,90.0,3,1,2,2,3
Rajaji Nagar,1500.0,99.0,2,1,0,3,3
Electronic City,1800.0,190.0,3,2,0,2,4
Thanisandra,1185.0,43.66,2,2,0,3,2
Basavangudi,1600.0,130.0,3,3,0,0,3
Gottigere,1100.0,28.0,2,1,0,3,2
Yelahanka,1300.0,69.23,2,2,0,3,2
Kasavanhalli,1100.0,68.0,2,1,0,3,2
Ambalipura,860.0,28.93,2,1,2,3,2
Panathur,1007.0,64.0,2,1,2,3,2
Akshaya Nagar,1100.0,48.0,2,2,0,3,2
Whitefield,1187.0,38.0,2,1,0,3,2
R.T. Nagar,1150.0,72.0,2,2,0,3,2
Nagavara,2400.0,252.0,3,2,0,3,3
Aavalahalli,1180.0,41.94,2,3,2,3,2
Budigere,1820.0,85.2,3,2,0,3,3
Hennur Bande,1200.0,180.0,6,3,0,2,6
Sector 1 HSR Layout,2400.0,775.0,6,2,0,2,3
KR Puram,3628.0,246.0,4,1,0,3,4
Kodbisanhalli,1430.0,70.0,3,2,0,0,3
Kanakpura Road,700.0,40.0,2,1,2,3,2
Kattigenahalli,1200.0,70.0,1,0,0,2,2
Old Madras Road,1165.0,40.77,2,1,2,3,2
Jalahalli,1569.0,118.0,3,2,0,3,3
Basaveshwara Nagar Yelahanka,1950.0,95.0,4,3,0,3,3
Jayanti Nagar,1200.0,70.0,3,1,0,2,2
Yelahanka New Town,2437.0,125.0,3,2,0,3,3
Marathahalli,950.0,46.7,2,2,0,3,2
Bellandur,1685.0,115.0,3,3,2,0,3
Green Glen Layout,3270.0,205.0,4,3,0,3,4
Sarjapur  Road,1314.0,110.0,2,2,0,3,2
New Gurappana Palya,1250.0,40.0,3,2,2,3,3
Virudhu Nagar,1130.0,68.0,2,2,0,0,2
Doddakannelli,1200.0,122.0,9,3,0,2,6
Sultan Palaya,890.0,160.0,5,2,0,2,6
kamanahalli main road,857.0,95.0,3,2,0,2,3
Whitefield,2247.0,145.0,3,2,0,3,3
Marathahalli,1550.0,85.0,3,2,0,3,3
Hoodi,1715.0,100.0,2,2,0,3,3
Hennur Road,1053.0,53.0,2,1,0,3,2
Begur Road,1200.0,50.0,3,0,0,2,3
HBR Layout,1800.0,230.0,2,1,0,2,3
Chikkabanavar,2400.0,97.0,4,0,0,0,5
Kodbisanhalli,1245.0,60.0,1,3,0,3,2
Koramangala,1320.0,160.0,2,1,0,3,2
Whitefield,3940.0,265.0,5,3,0,2,4
Thanisandra,1241.0,65.0,2,1,0,0,3
7th Phase JP Nagar,2980.0,260.0,4,2,0,0,3
7th Block Koramangala,600.0,130.0,5,3,0,2,6
Raja Rajeshwari Nagar,1090.0,57.0,2,2,0,3,2
Byrasandra,1390.0,50.0,2,1,0,3,3
Sampangi Rama Nagar,600.0,175.0,4,3,0,2,8
Jakkur Plantation,2750.0,275.0,5,2,0,3,3
Kanakpura Road,1100.0,52.97,2,1,2,3,3
Koramangala,1350.0,103.0,2,2,0,0,2
Prakash Nagar,800.0,55.0,2,2,0,0,2
Sarjapur  Road,1787.0,116.0,3,2,0,3,3
BTM Layout,2400.0,220.0,3,2,0,0,3
Haralur Road,3700.0,325.0,4,2,0,3,4
Sarjapur  Road,1691.0,93.01,3,2,0,3,3
Bhoganhalli,2119.0,111.0,4,3,2,3,4
Chikka Tirupathi,2325.0,95.0,3,3,2,2,3
Thyagaraja Nagar,570.0,80.0,5,0,0,2,5
Akshaya Nagar,1896.0,102.0,3,2,0,3,3
Banashankari Stage V,1540.0,48.51,3,2,2,3,3
Cambridge Layout,1244.0,95.0,2,2,0,3,2
Hormavu,1365.0,65.0,2,2,0,3,3
Thanisandra,580.0,27.5,1,1,2,3,1
Hebbal,1355.0,83.87,3,2,2,3,3
Bharat Nagar,1500.0,180.0,4,2,0,2,3
8th Phase JP Nagar,1513.0,62.0,2,3,0,3,2
Banashankari,1175.0,41.13,2,1,0,3,2
Thanisandra,2087.0,139.0,4,2,2,3,3
Talaghattapura,2273.0,145.0,3,2,2,3,3
Thanisandra,2050.0,150.0,3,2,2,3,3
Garebhavipalya,1200.0,75.0,2,1,0,0,2
Whitefield,1190.0,59.0,2,3,0,3,2
Kodigehalli,600.0,85.0,3,2,0,3,4
Marathahalli,1019.0,49.86,2,2,2,3,2
Thigalarapalya,1830.0,133.0,3,2,0,3,3
Channasandra,4278.0,299.0,7,1,0,2,7
Sarjapur  Road,1028.0,56.0,2,1,0,3,2
Old Madras Road,1300.0,100.0,2,2,0,0,2
Whitefield,1160.0,67.0,2,1,0,3,2
Mahadevpura,1505.0,78.0,3,2,0,3,3
Kogilu,1250.0,55.55,2,1,0,3,2
Ramchandrapuram,400.0,50.0,2,1,0,2,1
Sarjapur,1175.0,41.68,2,1,0,3,2
Janatha Colony,1100.0,57.6,2,2,0,3,2
Vishwanatha Nagenahalli,2159.0,120.0,3,2,0,3,3
Devanahalli,1230.0,56.45,2,1,2,3,2
Gkvk Layout,1200.0,180.0,4,2,0,2,3
Channasandra Layout,3100.0,165.0,6,1,0,0,5
Old Madras Road,4500.0,287.0,7,0,2,3,5
Hegganahalli,1200.0,48.0,1,0,0,0,1
Dodsworth Layout,1340.0,71.0,2,1,0,3,2
Banashankari,1750.0,89.0,2,2,0,3,3
Banashankari Stage II,1400.0,100.0,2,1,0,3,2
Nagarbhavi,1350.0,60.0,3,0,0,0,3
RMV Extension,1675.0,62.0,3,3,0,3,3
Thanisandra,1340.0,66.33,2,1,2,3,2
Malleshwaram,600.0,68.0,1,0,0,0,2
Hulimavu,1276.0,76.0,2,2,0,3,2
Ramagondanahalli,1738.0,76.0,2,3,0,3,3
"Hoodi Circle, ",1190.0,59.9,2,2,0,3,2
Electronic City,1128.0,65.45,2,1,2,3,2
Veersandra,1250.0,55.0,2,1,0,3,2
ITI Layout,1450.0,90.0,2,2,0,0,2
Kudlu,1084.0,53.0,2,1,0,3,2
Kaggadasapura,2150.0,90.0,4,2,0,0,4
Koramangala,6000.0,625.0,4,0,0,0,4
Nagarbhavi,600.0,77.0,3,0,0,2,4
Hosur Road,1250.0,65.0,2,2,0,3,2
Seegehalli,2400.0,240.0,4,1,0,2,3
Begur,1304.0,65.0,3,0,0,3,3
Rajaji Nagar,1640.0,268.0,3,2,0,3,3
7th Phase JP Nagar,980.0,77.44,2,1,0,0,2
Ramanashree Enclave,1275.0,49.5,2,2,0,3,2
"Yelahanka,MVIT college",10030.0,150.0,1,1,0,2,1
Banjara Layout,2500.0,140.0,4,0,0,2,3
Bidadi,3600.0,225.0,4,0,0,0,4
Anekal,2400.0,95.0,4,0,0,2,3
Chikku Lakshmaiah Layout,2300.0,280.0,3,2,0,3,3
Kanakpura Road,1450.0,70.18,2,2,2,3,3
Electronic City,890.0,40.0,2,1,0,3,2
Bannerghatta Road,1340.0,85.0,2,3,0,3,2
Vidyaranyapura,1100.0,75.0,2,1,0,3,3
Kengeri,750.0,40.0,2,1,0,3,2
Basaveshwara Nagar,700.0,125.0,4,2,0,2,4
Akshaya Nagar,1300.0,66.0,2,2,0,3,2
HRBR Layout,1301.0,120.0,2,1,2,3,2
Gnana Bharathi,3200.0,130.0,8,1,0,0,9
Pillahalli,1900.0,92.0,2,1,0,2,3
Kanakpura Road,1299.0,105.0,2,1,2,3,2
Anugrah Layout,1250.0,40.0,3,3,2,3,3
Whitefield,1600.0,300.0,4,2,0,2,4
Kalkere,925.0,55.0,2,1,0,3,2
Meenakunte,3900.0,250.0,3,3,0,2,3
Uttarahalli,1107.0,45.0,2,1,0,3,2
Ramesh Nagar,1400.0,160.0,2,2,0,2,2
Electronics City Phase 1,1300.0,67.0,2,1,0,3,2
Yeshwanthpur,570.0,62.0,2,1,0,0,2
Hiremath Layout,1715.0,95.0,3,2,0,3,3
Uttarahalli,1200.0,55.0,2,1,0,0,2
9th Block Jayanagar,1200.0,280.0,5,1,0,2,6
Ashok Nagar,703.0,60.0,2,1,0,3,2
Talaghattapura,921.0,29.47,2,2,2,3,2
Marathahalli,1144.0,65.0,2,2,0,3,2
Kanakpura Road,525.0,26.01,1,1,2,3,1
Suddaguntepalya,1400.0,56.0,2,2,0,3,3
Balagere,661.0,33.0,1,1,2,3,1
Upkar Layout,1200.0,160.0,6,2,0,2,6
Kengeri Satellite Town,1200.0,70.0,5,2,0,0,5
Yelahanka,1705.0,91.0,3,1,0,3,3
Anjana Nagar,1035.0,170.0,5,1,0,2,5
Kadugodi,1430.0,55.0,2,0,0,3,3
Marathahalli,1240.0,55.0,2,2,0,3,2
Garudachar Palya,1325.0,60.8,2,2,0,3,3
Thanisandra,1230.0,44.0,2,2,0,3,2
Electronics City Phase 1,1000.0,28.0,2,3,0,3,2
Gollarahatti,740.0,24.5,2,1,0,2,4
Uttarahalli,1330.0,46.45,2,2,0,3,3
Sarjapur  Road,3005.0,275.0,5,2,0,3,4
Shivaji Nagar,1300.0,170.0,3,2,0,3,3
Haralur Road,1243.0,46.0,2,2,0,3,2
Kengeri Satellite Town,936.0,60.84,2,1,0,0,4
Banashankari Stage III,1500.0,100.0,2,2,2,3,3
Kodigehalli,1200.0,156.0,4,1,0,2,3
Cox Town,1073.0,72.0,2,2,0,0,2
Kudlu,1300.0,56.0,2,2,0,0,2
Sarjapur,4201.0,435.0,4,3,2,2,4
Electronic City,1065.0,30.75,2,1,2,0,2
Whitefield,1216.0,66.88,2,1,2,3,2
Jigani,1252.0,59.0,3,2,0,0,3
Hormavu,1196.0,44.8,2,1,2,3,2
Kudlu,1027.0,44.0,2,2,0,0,2
Padmanabhanagar,610.0,75.0,2,1,0,2,3
Poornapragna Housing Society Layout,1270.0,57.15,2,2,0,3,3
Mico Layout,1171.0,39.0,2,2,2,3,2
Kothannur,1215.0,48.6,2,3,0,3,3
Venkateswara Nagar,600.0,20.0,1,0,0,2,1
Whitefield,1180.0,77.0,2,1,2,3,2
Electronic City Phase II,1160.0,33.51,2,1,2,0,2
Chikkagubbi,4382.0,400.0,4,3,0,2,4
Whitefield,2140.0,139.0,3,2,2,3,3
Yeshwanthpur,1500.0,100.0,3,1,0,3,3
Banaswadi,1008.0,52.0,2,2,0,3,2
Ambedkar Nagar,1921.0,129.0,4,3,0,3,3
Electronic City,1127.0,32.0,2,2,0,3,2
Rajaji Nagar,1621.0,124.0,3,1,2,3,3
Poornapragna Housing Society Layout,2400.0,360.0,3,0,0,2,3
Banashankari 2 nd Stage,1030.0,77.25,2,2,0,3,3
Whitefield,1314.0,84.0,2,1,2,3,2
Choodasandra,1220.0,56.0,3,1,0,3,3
Banashankari Stage VI,600.0,97.0,3,1,2,2,4
JP Nagar,1590.0,85.0,2,3,0,0,3
Shivaji Nagar,703.0,49.5,2,1,0,3,2
Hosakerehalli,1795.0,64.62,3,2,2,3,3
Gottigere,3000.0,132.0,3,0,0,0,4
Sarjapur  Road,4395.0,242.0,4,2,2,3,4
Electronic City,825.0,35.0,2,1,0,3,2
Yelahanka,4025.0,350.0,6,1,2,3,4
Vajarahalli,1254.0,70.0,2,1,2,3,3
Ramagondanahalli,2040.0,114.0,3,2,0,0,3
Thigalarapalya,2215.0,154.0,4,2,0,3,3
Jalahalli,1478.0,125.0,2,2,0,3,2
Malleshwaram,2475.0,337.0,4,3,0,3,3
Cambridge Layout,1669.0,298.0,3,2,0,3,3
Nagappa Reddy Layout,1820.0,79.5,3,2,0,3,3
Horamavu Agara,1623.0,89.0,3,1,2,3,3
Haralur Road,1243.0,46.0,2,2,0,3,2
Electronic City,1200.0,40.5,2,2,0,3,2
Gottigere,1613.0,72.0,3,3,0,3,3
Rajiv Gandhi Nagar,1293.0,80.0,2,2,0,3,2
Hoskote,1065.0,28.5,2,2,0,3,2
Kudlu Gate,940.0,69.57,2,1,2,3,2
Sarjapur  Road,1181.0,65.0,2,1,0,3,3
Malleshwaram,2215.0,275.0,3,2,0,3,3
Marathahalli,1100.0,75.0,2,2,0,0,1
MLA Layout,1050.0,36.0,2,1,0,3,2
Subramanyapura,1260.0,75.0,2,1,0,3,3
Banashankari Stage II,2800.0,425.0,3,2,0,3,5
Dodda Banaswadi,1500.0,56.0,3,2,0,3,3
KR Puram,1200.0,132.0,6,3,0,2,6
Esther Enclave Layout,1000.0,66.0,2,0,2,2,2
Whitefield,1530.0,73.0,3,3,0,3,3
HSR Layout,1140.0,46.0,2,2,0,3,2
Dodda Nekkundi Extension,1864.0,115.0,3,3,0,3,3
Sarjapur,1575.0,55.0,3,3,0,0,3
Attibele,1200.0,105.0,3,3,2,2,3
Raja Rajeshwari Nagar,945.0,45.0,2,1,0,3,2
Sarjapur  Road,1691.0,100.0,3,2,0,3,3
KR Garden,1200.0,135.0,2,3,0,2,2
Electronic City Phase II,1220.0,35.25,3,1,2,0,3
Kengeri,600.0,35.0,1,1,0,0,1
Whitefield,1160.0,39.0,2,2,2,3,2
Dodda Nekkundi Extension,1950.0,89.5,2,2,0,3,3
Vittasandra,1650.0,85.0,3,1,0,3,3
Annapurneshwari Nagar,2400.0,150.0,4,1,0,0,4
Abbigere,795.0,32.6,1,1,0,3,2
Raghavendra Nagar,800.0,95.0,5,1,0,2,5
TC Palaya,1400.0,97.0,5,1,0,2,5
Kalyan nagar,2285.0,165.0,4,1,0,3,3
Haralur Road,1243.0,46.0,2,2,0,3,2
Kammagondahalli,1263.0,51.5,2,1,0,3,2
Nanjappa Layout Vidyaranyapura,1200.0,115.0,4,2,0,3,5
Hennur,1345.0,69.0,2,1,0,3,3
D Group Employees Layout,4400.0,240.0,5,3,0,0,5
Electronic City,1360.0,58.0,2,1,0,3,3
Sarjapur  Road,1026.0,60.55,2,1,0,3,2
Alfa Garden Layout,1050.0,38.0,2,2,0,3,2
Uttarahalli,1460.0,76.0,3,3,0,3,3
Banagiri Nagar,1525.0,91.48,2,2,0,3,3
